"Sum of GDP per capita, PPP (constant 2017 international $)",Column Labels,,,,,,,,,
Row Labels,China,India,Japan,Grand Total,,,Row Labels,China,India,Japan
1990,1423.896348,1813.135853,32168.76411,35405.79631,,,1990,,,
1991,1534.705272,1795.302326,33137.70311,36467.71071,,,1991,7.8%,-1.0%,3.0%
1992,1731.657215,1856.170582,33294.91604,36882.74384,,,1992,12.8%,3.4%,0.5%
1993,1949.534268,1906.412058,33015.27657,36871.2229,,,1993,12.6%,2.7%,-0.8%
1994,2178.924057,1994.226916,33250.17851,37423.32948,,,1994,11.8%,4.6%,0.7%
1995,2391.477116,2104.505298,34081.89842,38577.88084,,,1995,9.8%,5.5%,2.5%
1996,2601.363426,2220.893203,35058.80366,39881.06028,,,1996,8.8%,5.5%,2.9%
1997,2812.711135,2268.043087,35351.71884,40432.47306,,,1997,8.1%,2.1%,0.8%
1998,3004.427342,2364.408687,34857.95837,40226.7944,,,1998,6.8%,4.2%,-1.4%
1999,3206.730026,2527.508347,34706.70465,40440.94302,,,1999,6.7%,6.9%,-0.4%
2000,3451.679231,2578.59153,35611.80391,41642.07467,,,2000,7.6%,2.0%,2.6%
2001,3712.338132,2656.655208,35670.45493,42039.44828,,,2001,7.6%,3.0%,0.2%
2002,4024.355697,2711.511846,35629.59859,42365.46614,,,2002,8.4%,2.1%,-0.1%
2003,4400.825183,2876.743382,36096.77438,43374.34295,,,2003,9.4%,6.1%,1.3%
2004,4817.211845,3054.918876,36880.1788,44752.30952,,,2004,9.5%,6.2%,2.2%
2005,5334.646639,3245.299885,37489.85337,46069.79989,,,2005,10.7%,6.2%,1.7%
2006,5979.781712,3453.105661,37998.12334,47431.01071,,,2006,12.1%,6.4%,1.4%
2007,6795.174012,3661.955505,38582.32219,49039.4517,,,2007,13.6%,6.0%,1.5%
2008,7412.874363,3720.092648,38141.93397,49274.90099,,,2008,9.1%,1.6%,-1.1%
2009,8069.354638,3956.359016,36080.51723,48106.23088,,,2009,8.9%,6.4%,-5.4%
2010,8884.588031,4234.979573,37586.16715,50705.73475,,,2010,10.1%,7.0%,4.2%
2011,9686.61529,4399.88824,37612.38831,51698.89184,,,2011,9.0%,3.9%,0.1%
2012,10397.56142,4583.173199,38235.74504,53216.47965,,,2012,7.3%,4.2%,1.7%
2013,11149.86756,4818.522557,39056.86981,55025.25992,,,2013,7.2%,5.1%,2.1%
2014,11917.3385,5116.629105,39255.27845,56289.24605,,,2014,6.9%,6.2%,0.5%
2015,12691.82155,5464.394057,39777.53102,57933.74663,,,2015,6.5%,6.8%,1.3%
2016,13487.82248,5851.39488,40031.27076,59370.48813,,,2016,6.3%,7.1%,0.6%
2017,14344.42124,6182.922109,40966.59322,61493.93657,,,2017,6.4%,5.7%,2.3%
2018,15242.98586,6518.845055,41182.3802,62944.21112,,,2018,6.3%,5.4%,0.5%
2019,16092.30077,6713.932211,41380.09358,64186.32656,,,2019,5.6%,3.0%,0.5%
2020,16410.7978,6118.35733,,22529.15513,,,2020,2.0%,-8.9%,
Grand Total,217139.7881,112768.8782,1102189.801,1432098.467,,,,,,
