序号,签单年份,项目规模,金额W,实际毛利率,预计毛利率,实际-预计,签约方式,区域
4,2021,中型项目,49.0,0.89,0.9633,-0.07330000000000003,代理商,华东
5,2021,中型项目,48.0,0.85,0.9249,-0.07490000000000008,直签,华北
10,2021,中型项目,61.0,0.63,0.7148,-0.08479999999999999,代理商,西南
31,2021,中型项目,49.0,0.86,0.8744,-0.014399999999999968,直签,华北
39,2021,中型项目,40.0,0.75,0.7905,-0.04049999999999998,代理商,华南
47,2021,中型项目,59.0,0.55,0.8615,-0.3115,直签,西南
51,2021,中型项目,35.58,0.97,1.0,-0.030000000000000027,直签,华南
53,2021,中型项目,40.0,0.85,0.9077,-0.057699999999999974,代理商,华东
58,2021,中型项目,31.0,0.36,0.4963,-0.13630000000000003,代理商,华东
66,2021,中型项目,46.5,0.72,0.9449,-0.2249,直签,华东
67,2021,中型项目,37.1,-1.01,0.8248,-1.8348,直签,华南
69,2021,中型项目,48.42,0.91,0.8861,0.023900000000000032,代理商,华南
72,2021,中型项目,37.6,0.68,0.2777,0.40230000000000005,代理商,华北
74,2021,中型项目,45.0,0.97,0.96,0.010000000000000009,代理商,华南
75,2021,中型项目,50.0,0.75,0.617,0.133,代理商,华南
81,2021,中型项目,80.55,0.92,0.9329,-0.012899999999999912,代理商,华北
83,2021,中型项目,85.0,0.88,0.9175,-0.03749999999999998,直签,华北
84,2021,中型项目,42.0,0.94,0.9571,-0.017100000000000004,代理商,华北
85,2021,中型项目,65.0,0.94,0.8367,0.10329999999999995,代理商,华北
87,2021,中型项目,90.0,0.96,0.9722,-0.012199999999999989,代理商,华北
96,2021,中型项目,78.7,0.37,0.8105,-0.4405,直签,华南
97,2021,中型项目,66.0,0.96,0.9774,-0.017400000000000082,直签,华北
98,2021,中型项目,42.0,0.9,0.835,0.06500000000000006,代理商,华北
99,2021,中型项目,40.0,0.97,1.0,-0.030000000000000027,代理商,华东
103,2021,中型项目,33.0,0.87,0.822,0.04800000000000004,代理商,华南
104,2021,中型项目,36.0,0.95,0.9,0.04999999999999993,代理商,华东
