序号,签单年份,项目规模,金额W,实际毛利率,预计毛利率,实际-预计,签约方式,区域,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
1,2021,微型项目,4.0,0.97,0.945,0.025000000000000022,代理商,华南,,,,,,,,
2,2021,微型项目,2.19,0.97,0.8995,0.07050000000000001,直签,华南,,,,,,,,
3,2021,微型项目,4.75,0.97,0.9832,-0.01319999999999999,代理商,华北,,,,,,,,
4,2021,中型项目,49.0,0.89,0.9633,-0.07330000000000003,代理商,华东,,,,,,,,
5,2021,中型项目,48.0,0.85,0.9249,-0.07490000000000008,直签,华北,,,,微型项目,小型项目,中型项目,大型项目,超大型项目
6,2021,微型项目,7.0,0.96,0.8545,0.10549999999999993,代理商,华东,,,实际>预计,73,27,29,9,1
7,2021,小型项目,12.28,0.8,0.7948,0.0052000000000000934,直签,华南,,,实际=预计,283,159,135,39,6
8,2021,微型项目,6.8,0.88,0.8382,0.04180000000000006,代理商,华东,,,实际<预计,67,36,30,13,1
9,2021,大型项目,114.8,0.96,0.636,0.32399999999999995,代理商,华南,,,,,,,,
10,2021,中型项目,61.0,0.63,0.7148,-0.08479999999999999,代理商,西南,,,,,,,,
11,2021,微型项目,8.6,0.76,0.8047,-0.04469999999999996,代理商,华北,,,各规模70%上下占比和趋势,,,,,
12,2021,微型项目,1.6,0.97,0.8625,0.10749999999999993,代理商,华东,,,,微型项目,小型项目,中型项目,大型项目,超大型项目
13,2021,微型项目,5.0,0.92,0.96,-0.039999999999999925,代理商,华东,,,>=70%,0,,,,
14,2021,小型项目,15.0,0.97,1.0,-0.030000000000000027,直签,华南,,,<70%,,,,,
15,2021,微型项目,1.02,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
16,2021,微型项目,5.0,0.97,0.968,0.0020000000000000018,代理商,华北,,,,,,,,
17,2021,微型项目,2.0,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
18,2021,大型项目,142.0,0.72,0.4183,0.30169999999999997,直签,华北,,,,,,,,
19,2021,大型项目,151.37,0.29,0.8007,-0.5106999999999999,直签,华东,,,,,,,,
20,2021,微型项目,9.18,0.89,0.8083,0.0817,代理商,华北,,,,,,,,
21,2021,小型项目,25.0,0.66,0.804,-0.14400000000000002,代理商,华东,,,,,,,,
22,2021,微型项目,9.0,0.97,0.9733,-0.0033000000000000806,代理商,华东,,,,,,,,
23,2021,微型项目,5.0,0.86,0.956,-0.09599999999999997,代理商,华南,,,,,,,,
24,2021,微型项目,6.0,0.56,0.725,-0.16499999999999992,直签,华北,,,,,,,,
25,2021,小型项目,16.5,0.96,0.9407,0.019299999999999984,直签,华北,,,,,,,,
26,2021,微型项目,5.0,0.97,0.968,0.0020000000000000018,代理商,华北,,,,,,,,
27,2021,微型项目,5.5,0.7,0.7818,-0.0818000000000001,代理商,华北,,,,,,,,
28,2021,小型项目,17.4,0.95,1.0,-0.050000000000000044,直签,华北,,,,,,,,
29,2021,小型项目,30.0,0.96,0.9714,-0.011400000000000077,代理商,西北,,,,,,,,
30,2021,小型项目,23.0,0.95,1.0,-0.050000000000000044,代理商,华南,,,,,,,,
