序号,签单年份,项目规模,金额W,实际毛利率,预计毛利率,实际-预计,签约方式,区域,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56
1.0,2021.0,微型项目,4.0,0.97,0.945,0.025000000000000022,代理商,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2021.0,微型项目,2.19,0.97,0.8995,0.07050000000000001,直签,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,2021.0,微型项目,4.75,0.97,0.9832,-0.01319999999999999,代理商,华北,,,,,,,,,,,,,,,,,,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2021.0,中型项目,49.0,0.89,0.9633,-0.07330000000000003,代理商,华东,,,,,,,,,,,,,,,,,,2021,2022.0,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,2021.0,中型项目,48.0,0.85,0.9249,-0.07490000000000008,直签,华北,,,,,微型项目,小型项目,中型项目,大型项目,超大型项目,,,,,,,,实际>预计,3,2.0,3.0,,,,,各规模40%上下占比和趋势,,,,,,,,,,,,,,,,,,,,,,,
6.0,2021.0,微型项目,7.0,0.96,0.8545,0.10549999999999993,代理商,华东,,,,实际>预计,88,23,19,8,2,,,,,,,,实际=预计,6,14.0,8.0,,,,,,微型项目,小型项目,中型项目,大型项目,超大型项目,,,,,,,,,,,,,,,,,,
7.0,2021.0,小型项目,12.28,0.8,0.7948,0.0052000000000000934,直签,华南,,,,实际=预计,305,161,128,28,3,,,,,,,,实际<预计,16,7.0,2.0,,,,,>=70%,418,215,184,50,6,,,,,,,,,,,,,,,,,,
8.0,2021.0,微型项目,6.8,0.88,0.8382,0.04180000000000006,代理商,华东,,,,实际<预计,31,38,50,25,3,,,,,,,,,,,,,,,,<70%,6,7,13,11,2,,,,,,,,,,,,,,,,,,
9.0,2021.0,大型项目,114.8,0.96,0.636,0.32399999999999995,代理商,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,2021.0,中型项目,61.0,0.63,0.7148,-0.08479999999999999,代理商,西南,,,,,,,,,,,,,,,,,,中型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,2021.0,微型项目,8.6,0.76,0.8047,-0.04469999999999996,代理商,华北,,,,各规模70%上下占比和趋势,,,,,,,,,,,,,,2021,2022.0,2023.0,,,,,,2021,,,,,2022,,,,,2023,,,,,,,,,,,,
12.0,2021.0,微型项目,1.6,0.97,0.8625,0.10749999999999993,代理商,华东,,,,,微型项目,小型项目,中型项目,大型项目,超大型项目,,,,,,,,实际>预计,5,7.0,7.0,,,,,,微型项目,小型项目,中型项目,大型项目,超大型项目,微型项目,小型项目,中型项目,大型项目,超大型项目,微型项目,小型项目,中型项目,大型项目,超大型项目,,,,,,,,
13.0,2021.0,微型项目,5.0,0.92,0.96,-0.039999999999999925,代理商,华东,,,,>=70%,402,191,145,31,2,,,,,,,,实际=预计,40,49.0,39.0,,,,,>=70%,114,69,44,9,0,129,61,57,14,2,159,61,44,8,0,0.0,,,,,,,
14.0,2021.0,小型项目,15.0,0.97,1.0,-0.030000000000000027,直签,华南,,,,<70%,22,31,52,30,6,,,,,,,,实际<预计,18,23.0,9.0,,,,,<70%,8,10,19,16,3,6,12,22,9,2,8,9,11,5,1,0.0,,,,,,,
15.0,2021.0,微型项目,1.02,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,,,,,,,,,,,,,,,,,,微型,,,,,小型,,,,,中型,,,,,大型,,,,,超大型,,,
