数据库：月度数据
时间：2013-
指标,2024年3月,2024年2月,2024年1月,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月,2023年1月,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月,2022年1月,2021年12月,2021年11月,2021年10月,2021年9月,2021年8月,2021年7月,2021年6月,2021年5月,2021年4月,2021年3月,2021年2月,2021年1月,2020年12月,2020年11月,2020年10月,2020年9月,2020年8月,2020年7月,2020年6月,2020年5月,2020年4月,2020年3月,2020年2月,2020年1月,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月,2016年12月,2016年11月,2016年10月,2016年9月,2016年8月,2016年7月,2016年6月,2016年5月,2016年4月,2016年3月,2016年2月,2016年1月,2015年12月,2015年11月,2015年10月,2015年9月,2015年8月,2015年7月,2015年6月,2015年5月,2015年4月,2015年3月,2015年2月,2015年1月,2014年12月,2014年11月,2014年10月,2014年9月,2014年8月,2014年7月,2014年6月,2014年5月,2014年4月,2014年3月,2014年2月,2014年1月,2013年12月,2013年11月,2013年10月,2013年9月,2013年8月,2013年7月,2013年6月,2013年5月,2013年4月,2013年3月,2013年2月,2013年1月
制造业采购经理指数(%),50.8,49.1,49.2,49.0,49.4,49.5,50.2,49.7,49.3,49.0,48.8,49.2,51.9,52.6,50.1,47.0,48.0,49.2,50.1,49.4,49.0,50.2,49.6,47.4,49.5,50.2,50.1,50.3,50.1,49.2,49.6,50.1,50.4,50.9,51.0,51.1,51.9,50.6,51.3,51.9,52.1,51.4,51.5,51.0,51.1,50.9,50.6,50.8,52.0,35.7,50.0,50.2,50.2,49.3,49.8,49.5,49.7,49.4,49.4,50.1,50.5,49.2,49.5,49.4,50.0,50.2,50.8,51.3,51.2,51.5,51.9,51.4,51.5,50.3,51.3,51.6,51.8,51.6,52.4,51.7,51.4,51.7,51.2,51.2,51.8,51.6,51.3,51.4,51.7,51.2,50.4,50.4,49.9,50.0,50.1,50.1,50.2,49.0,49.4,49.7,49.6,49.8,49.8,49.7,50.0,50.2,50.2,50.1,50.1,49.9,49.8,50.1,50.3,50.8,51.1,51.1,51.7,51.0,50.8,50.4,50.3,50.2,50.5,51.0,51.4,51.4,51.1,51.0,50.3,50.1,50.8,50.6,50.9,50.1,50.4
生产指数(%),52.2,49.8,51.3,50.2,50.7,50.9,52.7,51.9,50.2,50.3,49.6,50.2,54.6,56.7,49.8,44.6,47.8,49.6,51.5,49.8,49.8,52.8,49.7,44.4,49.5,50.4,50.9,51.4,52.0,48.4,49.5,50.9,51.0,51.9,52.7,52.2,53.9,51.9,53.5,54.2,54.7,53.9,54.0,53.5,54.0,53.9,53.2,53.7,54.1,27.8,51.3,53.2,52.6,50.8,52.3,51.9,52.1,51.3,51.7,52.1,52.7,49.5,50.9,50.8,51.9,52.0,53.0,53.3,53.0,53.6,54.1,53.1,53.1,50.7,53.5,54.0,54.3,53.4,54.7,54.1,53.5,54.4,53.4,53.8,54.2,53.7,53.1,53.3,53.9,53.3,52.8,52.6,52.1,52.5,52.3,52.2,52.3,50.2,51.4,52.2,51.9,52.2,52.3,51.7,52.4,52.9,52.9,52.6,52.1,51.4,51.7,52.2,52.5,53.1,53.6,53.2,54.2,53.0,52.8,52.5,52.7,52.6,53.0,53.9,54.5,54.4,52.9,52.6,52.4,52.0,53.3,52.6,52.7,51.2,51.3
新订单指数(%),53.0,49.0,49.0,48.7,49.4,49.5,50.5,50.2,49.5,48.6,48.3,48.8,53.6,54.1,50.9,43.9,46.4,48.1,49.8,49.2,48.5,50.4,48.2,42.6,48.8,50.7,49.3,49.7,49.4,48.8,49.3,49.6,50.9,51.5,51.3,52.0,53.6,51.5,52.3,53.6,53.9,52.8,52.8,52.0,51.7,51.4,50.9,50.2,52.0,29.3,51.4,51.2,51.3,49.6,50.5,49.7,49.8,49.6,49.8,51.4,51.6,50.6,49.6,49.7,50.4,50.8,52.0,52.2,52.3,53.2,53.8,52.9,53.3,51.0,52.6,53.4,53.6,52.9,54.8,53.1,52.8,53.1,52.3,52.3,53.3,53.0,52.8,53.2,53.2,52.8,50.9,51.3,50.4,50.5,50.7,51.0,51.4,48.6,49.5,50.2,49.8,50.3,50.2,49.7,49.9,50.1,50.6,50.2,50.2,50.4,50.2,50.4,50.9,51.6,52.2,52.5,53.6,52.8,52.3,51.2,50.6,50.5,50.9,52.0,52.3,52.5,52.8,52.4,50.6,50.4,51.8,51.7,52.3,50.1,51.6
新出口订单指数(%),51.3,46.3,47.2,45.8,46.3,46.8,47.8,46.7,46.3,46.4,47.2,47.6,50.4,52.4,46.1,44.2,46.7,47.6,47.0,48.1,47.4,49.5,46.2,41.6,47.2,49.0,48.4,48.1,48.5,46.6,46.2,46.7,47.7,48.1,48.3,50.4,51.2,48.8,50.2,51.3,51.5,51.0,50.8,49.1,48.4,42.6,35.3,33.5,46.4,28.7,48.7,50.3,48.8,47.0,48.2,47.2,46.9,46.3,46.5,49.2,47.1,45.2,46.9,46.6,47.0,46.9,48.0,49.4,49.8,49.8,51.2,50.7,51.3,49.0,49.5,51.9,50.8,50.1,51.3,50.4,50.9,52.0,50.7,50.6,51.0,50.8,50.3,50.1,50.3,49.2,50.1,49.7,49.0,49.6,50.0,50.1,50.2,47.4,46.9,47.5,46.4,47.4,47.9,47.7,47.9,48.2,48.9,48.1,48.3,48.5,48.4,49.1,48.4,49.9,50.2,50.0,50.8,50.3,49.3,49.1,50.1,48.2,49.3,49.8,50.6,50.4,50.7,50.2,49.0,47.7,49.4,48.6,50.9,47.3,48.5
在手订单指数(%),47.6,43.5,44.3,44.5,44.4,44.2,45.3,45.9,45.4,45.2,46.1,46.8,48.9,49.3,44.5,43.1,43.4,43.9,44.1,43.1,42.6,44.2,45.0,46.0,46.1,45.2,45.8,45.6,45.7,45.0,45.6,45.9,46.1,46.6,45.9,46.4,46.6,46.1,47.3,47.1,46.7,47.2,46.1,46.0,45.6,44.8,44.1,43.6,46.3,35.6,46.3,45.0,44.9,44.9,44.7,44.8,44.7,44.5,44.3,44.0,46.4,43.6,43.7,44.1,44.3,44.3,45.2,46.7,45.7,45.5,45.9,46.2,46.0,44.9,45.3,46.3,46.6,45.6,47.4,46.1,46.3,47.2,45.4,45.0,46.1,46.0,46.3,46.2,46.7,45.8,45.2,45.0,45.5,45.0,45.1,44.8,45.7,43.9,43.4,43.6,43.0,44.4,43.8,44.6,44.0,44.6,44.7,43.8,44.1,43.8,44.0,43.8,43.9,44.7,45.6,45.9,46.4,46.2,46.0,44.9,44.8,45.1,45.7,45.1,45.3,45.5,46.2,44.8,44.7,42.9,44.9,43.6,47.1,44.4,44.4
产成品库存指数(%),48.9,47.9,49.4,47.8,48.2,48.5,46.7,47.2,46.3,46.1,48.9,49.4,49.5,50.6,47.2,46.6,48.1,48.0,47.3,45.2,48.0,48.6,49.3,50.3,48.9,47.3,48.0,48.5,47.9,46.3,47.2,47.7,47.6,47.1,46.5,46.8,46.7,48.0,49.0,46.2,45.7,44.9,48.4,47.1,47.6,46.8,47.3,49.3,49.1,46.1,46.0,45.6,46.4,46.7,47.1,47.8,47.0,48.1,48.1,46.5,47.0,46.4,47.1,48.2,48.6,47.1,47.4,47.4,47.1,46.3,46.1,47.2,47.3,46.7,47.0,45.8,46.1,46.1,44.2,45.5,46.1,46.3,46.6,48.2,47.3,47.6,45.0,44.4,45.9,46.9,46.4,46.6,46.8,46.5,46.8,45.5,46.0,46.4,44.6,46.1,46.7,47.2,46.8,47.2,47.4,47.7,47.5,48.0,48.6,47.0,48.0,47.8,47.2,47.9,47.2,48.1,47.6,47.3,47.1,47.3,48.3,47.8,46.5,46.2,47.9,45.6,47.4,47.6,47.3,48.2,48.6,47.7,50.2,46.6,47.4
采购量指数(%),52.7,48.0,49.2,49.0,49.6,49.8,50.7,50.5,49.5,48.9,49.0,49.1,53.5,53.5,50.4,44.9,47.1,49.3,50.2,49.2,48.9,51.1,48.4,43.5,48.7,50.9,50.2,50.8,50.2,48.9,49.7,50.3,50.8,51.7,51.9,51.7,53.1,51.6,52.0,53.2,53.7,53.1,53.6,51.7,52.4,51.8,50.8,52.0,52.7,29.3,51.6,51.3,51.0,49.8,50.4,49.3,50.4,49.7,50.5,51.1,51.2,48.3,49.1,49.8,50.8,51.0,51.5,51.8,51.5,52.8,53.0,52.6,53.0,50.8,52.9,53.6,53.5,53.2,53.8,52.9,52.7,52.5,51.5,51.9,53.4,51.4,52.6,52.1,52.9,52.4,51.9,52.6,50.5,50.5,51.2,51.0,52.6,47.9,49.0,50.3,48.3,48.8,48.6,49.4,50.3,50.9,51.0,50.1,49.7,49.4,49.6,50.1,50.5,50.7,51.2,51.9,53.0,52.0,52.3,50.6,50.3,49.4,51.0,52.7,53.6,52.7,52.5,52.0,50.0,49.5,51.5,51.0,51.9,50.2,53.2
进口指数(%),50.4,46.4,46.7,46.4,47.3,47.5,47.6,48.9,46.8,47.0,48.6,48.9,50.9,51.3,46.7,43.7,47.1,47.9,48.1,47.8,46.9,49.2,45.1,42.9,46.9,48.6,47.2,48.2,48.1,47.5,46.8,48.3,49.4,49.7,50.9,50.6,51.1,49.6,49.8,50.4,50.9,50.8,50.4,49.0,49.1,47.0,45.3,43.9,48.4,31.9,49.0,49.9,49.8,46.9,47.1,46.7,47.4,46.8,47.1,49.7,48.7,44.8,47.1,45.9,47.1,47.6,48.5,49.1,49.6,50.0,50.9,50.2,51.3,49.8,50.4,51.2,51.0,50.3,51.1,51.4,51.1,51.2,50.0,50.2,50.5,51.2,50.7,50.3,50.6,49.9,50.4,49.5,49.3,49.1,49.6,49.5,50.1,45.8,46.4,47.6,46.7,47.5,48.1,47.2,47.8,48.0,47.6,47.8,48.1,47.5,46.4,47.8,47.3,47.9,48.0,48.5,49.3,49.2,49.0,48.6,49.1,46.5,48.2,49.0,50.5,50.0,50.4,50.0,48.4,47.9,50.3,48.7,48.9,48.1,49.1
出厂价格指数(%),47.4,48.1,47.0,47.7,48.2,47.7,53.5,52.0,48.6,43.9,41.6,44.9,48.6,51.2,48.7,49.0,47.4,48.7,47.1,44.5,40.1,46.3,49.5,54.4,56.7,54.1,50.9,45.5,48.9,61.1,56.4,53.4,53.8,51.4,60.6,57.3,59.8,58.5,57.2,58.9,56.5,53.2,52.5,53.2,52.2,52.4,48.7,42.2,43.8,44.3,49.0,49.2,47.3,48.0,49.9,46.7,46.9,45.4,49.0,52.0,51.4,48.5,44.5,43.3,46.4,52.0,54.3,54.3,50.5,53.3,53.2,50.2,48.9,49.2,51.8,54.4,53.8,55.2,59.4,57.4,52.7,49.1,47.6,48.7,53.2,56.3,54.7,58.8,58.3,55.5,51.5,52.0,50.0,47.0,49.7,51.7,50.9,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主要原材料购进价格指数(%),50.5,50.1,50.4,51.5,50.7,52.6,59.4,56.5,52.4,45.0,40.8,46.4,50.9,54.4,52.2,51.6,50.7,53.3,51.3,44.3,40.4,52.0,55.8,64.2,66.1,60.0,56.4,48.1,52.9,72.1,63.5,61.3,62.9,61.2,72.8,66.9,69.4,66.7,67.1,68.0,62.6,58.8,58.5,58.3,58.1,56.8,51.6,42.5,45.5,51.4,53.8,51.8,49.0,50.4,52.2,48.6,50.7,49.0,51.8,53.1,53.5,51.9,46.3,44.8,50.3,58.0,59.8,58.7,54.3,57.7,56.7,53.0,53.4,53.4,59.7,62.2,59.8,63.4,68.4,65.3,57.9,50.4,49.5,51.8,59.3,64.2,64.5,69.6,68.3,62.6,57.5,57.2,54.6,51.3,55.3,57.6,55.3,50.2,45.1,42.4,41.1,44.4,45.8,44.9,44.7,47.3,49.4,47.8,45.0,43.9,41.9,43.2,44.7,45.1,47.4,49.3,50.5,50.1,50.0,48.3,44.4,47.7,49.2,52.6,52.5,53.3,54.5,53.2,50.1,44.6,45.1,40.1,50.6,55.5,57.2
